,Location,Month,OriginalTweet,Country,Cleaned_Tweet,TweetAt
21541,,Mar,"Supermarket #purchaselimits mean people have to shop more often to get basics like milk, each time with possible exposure to the #coronavirus 
Supermarkets your well-meaning restrictions will end up killing people.

#StayHome #StayHomeStaySafe",Italia,supermarket purchaselimits mean people have to shop more often to get basics like milk each time with possible exposure to the coronavirus supermarkets your wellmeaning restrictions will end up killing peoplestayhome stayhomestaysafe,2020-03-25
14111,"New Brunswick, Canada",Mar,"People want to hope #coronavirus comes with a 6 month case of diarrhea, else they are going to need to build an addition to store all their toiletpaper.  Shelves empty at SuperStore again today.",Canada,people want to hope coronavirus comes with a   month case of diarrhea else they are going to need to build an addition to store all their toiletpaper  shelves empty at superstore again today,2020-03-21
17114,"Chapel Hill, NC, USA",Mar,MEDIA ADVISORY A panel convened by amp the Kenan Institute will be offering a press briefing on the dramatic short and long term impact of the 19 financial downturn on personal amp consumer finance Join Tues March 24 at 11 a m,United States,media advisory a panel convened by amp the kenan institute will be offering a press briefing on the dramatic short and long term impact of the   financial downturn on personal amp consumer finance join tues march   at   a m,2020-03-23
23595,Virginia,Mar,New Jersey Man Charged with Terroristic Threats for Deliberately Coughing on Grocery Store Worker And Stating He Had Covid 19 Faces a 7 year prison sentence via,United States,new jersey man charged with terroristic threats for deliberately coughing on grocery store worker and stating he had covid   faces a   year prison sentence via,2020-03-26
2167,,Mar,A COVID-19 Cure for Restaurants: Reaching Older Diners : https://t.co/kZaVPbZ53w #foodservices,Italia,a   cure for restaurants reaching older diners   foodservices,2020-03-17
9157,"Los Angeles, CA",Mar,LA County announcing a health order called  SAFER AT HOME  urging residents to stay home and only make essential trips to grocery store bank hospital and to continue practice  social distancing ,United States,la county announcing a health order called  safer at home  urging residents to stay home and only make essential trips to grocery store bank hospital and to continue practice  social distancing ,2020-03-20
17978,,Mar,"REAL SHIT, THERE REALLY ISNT ANY REASON TO NOT HAVE A JOB WHEN THERE IS #coronavirus BECAUSE PRETTY MUCH EVERY GROCERY STORE IS HIRING URGENTLY. I DONT WANT TO SEE OR HEAR NO BITCHING",Italia,real shit there really isnt any reason to not have a job when there is coronavirus because pretty much every grocery store is hiring urgently i dont want to see or hear no bitching,2020-03-23
2539,,Mar,How to never run out of toilet paper #coronavirus #toiletpaper #WashYourHands https://t.co/YtcyAUF42A,Italia,how to never run out of toilet paper coronavirus toiletpaper washyourhands ,2020-03-17
17987,Boston. MA,Mar,Are consumers taking out from the restaurants that they used to dine-in? Not really. Latest @PYMNTS data on COVID-19 &amp; consumer behavior changes https://t.co/LOPQwaRgaC,United States,are consumers taking out from the restaurants that they used to dinein not really latest pymnts data on   amp consumer behavior changes ,2020-03-23
25307,Maldives,Mar,"@Soniy_adi @ShixnaH 1. Covid 19 , victims management 
2. Survivers help centre / islands
3. Job centre 
4. SME , connect centre
5. Household rent and utilities
6. Food stock &amp; Social security 
7. Education ( students and schools) 
8. Isl",ދިވެހިރާއްޖެ,soniyadi shixnah   covid    victims management   survivers help centre    job centre   sme  connect   household rent and   food stock amp social security   education  students and schools   isl,2020-03-31
24337,"????? ??????, ????",Mar,"@FinMinIndia @PMOIndia 
India has 5000 crore House for a Family
But No Mask,Sanitizer,Gloves  for its People.
People r spending their Money.
Govt is collecting Taxes Paying it to Useless Politicians, Bureaucrats,Govt Employees.Whose contribution a",,finminindia pmoindia india has   crore house for a familybut no masksanitizergloves  for its peoplepeople r spending their moneygovt is collecting taxes paying it to useless politicians bureaucratsgovt employeeswhose contribution a,2020-03-26
