,Tweet_id,User_id,TweetAt,Location,OriginalTweet
0,1397686584305078272,1285074929650593793,2021-05-26 22:50:24,"San Diego, CA",fuck the vaccine shit got my arm throbbin🙄
1,1397686579276259331,117273945,2021-05-26 22:50:22,"Lehigh Acres, FL","@DaronKnol @ronnoconiv @patriottakes I think the fact that Covid is not the Black Plague is what will stop them. If 2/3 of people who got Covid died, then vaccines would be made mandatory.

Covid is simply not deathly enough to force unwilling Americans to get injections of a new vaccine."
2,1397686569994264586,1266128491277365248,2021-05-26 22:50:20,,@jacds68 @AuthenticVegas @BNODesk Is that why they have such a slow vaccine rollout?
3,1397686568127811594,1389542308291301382,2021-05-26 22:50:20,"Peloponnisos, Greece South ","Plandemic going good!
Millions of sheep's following the Vaccine Wolf 🐺"
4,1397686564575059969,21545913,2021-05-26 22:50:19,"woodland, Ca",Coronavirus: Influencers offered money to badmouth Pfizer vaccine https://t.co/6GXBw1k6v5
5,1397686564482805761,1439541762,2021-05-26 22:50:19,"Finley NSW, Australia","Vaccine “Grumpiness” is 🇦🇺’s &amp; 🌎’s happiness! 

@AngelaMerkle2 once said “Freedom is being Responsible”

1st 💉in your 💪is the best💉

I’ve done nearly 1000 AZ💉. More than 60% have no grumpiness (side effects) at all #CovidVic #COVID19Aus https://t.co/a3lLVFY0Dm"
6,1397686563740389377,1372235890437722112,2021-05-26 22:50:19,,@shahid_siddiqui Oh Haan your leader Akhilesh said it's a BJP vaccine now why does he want it...Stop this shit we are not fools and we also know if it was any other government we would have struggled to get even one dose.....India will win under him...not by your hate against him..
7,1397686560976510978,601862599,2021-05-26 22:50:18,,"@KatiePavlich But y'all fine to inhale it, not prevent it's spread with a piece of cloth and deny the vaccine. 
Who's stupid now?"
8,1397686557746909187,1303571603536707584,2021-05-26 22:50:17,,@RpsAgainstTrump Why would you need to be convinced to get the vaccine? Doesn’t that raise some concern?
9,1397686553070116865,800234427943006208,2021-05-26 22:50:16,"New Delhi, India","All this fuss modi n GOI is making on whatsapp n twitter is just to divert people from actual problem vaccine  to fight covid .. people are dying 

Modi tera toh pariwaar nahi dusro ka toh rehne de"
10,1397686550352306176,148509375,2021-05-26 22:50:16,Texas,"The people saying “the FDA and CDC are lying about covid”

are the same ones saying “but the vaccine is not FDA-approved and the CDC said no masks”"
