,Tweet_id,User_id,TweetAt,Location,OriginalTweet,Country
1,1397686579276259331,117273945,2021-05-26 22:50:22,"Lehigh Acres, FL","@DaronKnol @ronnoconiv @patriottakes I think the fact that Covid is not the Black Plague is what will stop them. If 2/3 of people who got Covid died, then vaccines would be made mandatory.

Covid is simply not deathly enough to force unwilling Americans to get injections of a new vaccine.",United States
2,1397686569994264586,1266128491277365248,2021-05-26 22:50:20,,@jacds68 @AuthenticVegas @BNODesk Is that why they have such a slow vaccine rollout?,Italia
4,1397686564575059969,21545913,2021-05-26 22:50:19,"woodland, Ca",Coronavirus: Influencers offered money to badmouth Pfizer vaccine https://t.co/6GXBw1k6v5,United States
6,1397686563740389377,1372235890437722112,2021-05-26 22:50:19,,@shahid_siddiqui Oh Haan your leader Akhilesh said it's a BJP vaccine now why does he want it...Stop this shit we are not fools and we also know if it was any other government we would have struggled to get even one dose.....India will win under him...not by your hate against him..,Italia
7,1397686560976510978,601862599,2021-05-26 22:50:18,,"@KatiePavlich But y'all fine to inhale it, not prevent it's spread with a piece of cloth and deny the vaccine. 
Who's stupid now?",Italia
9,1397686553070116865,800234427943006208,2021-05-26 22:50:16,"New Delhi, India","All this fuss modi n GOI is making on whatsapp n twitter is just to divert people from actual problem vaccine  to fight covid .. people are dying 

Modi tera toh pariwaar nahi dusro ka toh rehne de",India
12,1397686545033875456,56048686,2021-05-26 22:50:14,,@BurdsIVue Lol got vaccine advice and a movie review. Awesome!,Italia
13,1397686543993610240,741332969390903296,2021-05-26 22:50:14,,@isabellabardotx Keep the name. You can't pick one that doesn't belong to a past-or-present racist. There's no reason to let stuff like that define you.,Italia
14,1397686543276408838,827843955106516992,2021-05-26 22:50:14, Australia,"Ffs #colebeck is now blaming failure to vaccinate the #agedcare cohort on the flu vaccine requirements? 

This #Morrison government is a total corrupt failure! #ScottyDoesNothing #MorrisonLockdown https://t.co/bPor3jJX1s",Australia
17,1397686532434141184,80712889,2021-05-26 22:50:11,,"#auspol 25 Aged Care Facilities in Victoria have not had a single dose

Richard Colbeck says ""he's very comfortable with"" the Vaccine Process 
&amp; then blamed the Nursing Homes

Not the Federal Govt's Fault that this has not been COMPLETED BY APRIL AS ANNOUNCED

#ScottyDoesNothing https://t.co/ilNVFPXwDV",Italia
20,1397686530991341568,724640940,2021-05-26 22:50:11,,"With the mess and failure that seems to be real in the UK Govt , I shudder to think what would happen if we were at war or there's another pandemic. They were lucky with the vaccine for Covid. These people cannot and have not kept us safe. #BorisJohnson",Italia
21,1397686530869665794,1334155961188040707,2021-05-26 22:50:11,,Vaccine inequality in India sends many falling through gaps - The Washington Post https://t.co/9P79m3k5vw,Italia
22,1397686529846398982,1388870934073856001,2021-05-26 22:50:11,Swansea,@CarolineLucas And the vaccine rollout was more a testament to our tremendous NHS as opposed to that lying Tory cartel,United Kingdom
23,1397686528760025090,757701497828376576,2021-05-26 22:50:10,"Baltimore, MD",@067eoin hey miss twirliana bombs yass sticker 2021 amazon drone strike coronavirus vaccine me&amp;u2 merch yamaha headphones,United States
25,1397686523248660480,1147593176951250945,2021-05-26 22:50:09,"Manchester, England","@jarue369 At work 2 people were hugging, I asked what's happening. They said we're now vaccine brothers.",United Kingdom
26,1397686518324465665,2588841085,2021-05-26 22:50:08,✨,"Pfizer board member Scott Gottlieb calls for increased, 'sustained investment' from governments into vaccine manufacturing facilities in WSJ opinion piece.
@ScottGottliebMD pretends this is about preparedness, and not the massive profits it would generate for him &amp; Pfizer. #shill https://t.co/BYKfimV3sG",N/A
27,1397686509688344577,243646227,2021-05-26 22:50:06,"Tondo, Manila","@News5PH Kaloka po kayo senator Villar, vaccine never was an assurance to make a person invincible. It only provided added protection. San nyo po nahanap yang information na you will never die or get serious illness if you are vaccinated.",Luzon
31,1397686484547903490,18456335,2021-05-26 22:50:00,"Madison, WI","As of Wednesday, a total of 5,087,871 vaccines have been administered throughout Wisconsin. So far, 47.2 percent of Wisconsinites have gotten at least one dose of the vaccine, and 41.1 percent of the state has completed the vaccine series.https://t.co/NrlpYCn4Vc",United States
33,1397686476834492417,1357366267762606080,2021-05-26 22:49:58,,@Xcdrt @northh1129 @mehdirhasan @richardmarx I won't waste your time or mine talking about the election. The audits continue. I figured he would take his vaccine that he kept bragging about. He never hid it from us. He's been a surprising proponent of the vaccine but I'm going to keep wearing my mask and distancing for now,Italia
34,1397686470912004098,4708268322,2021-05-26 22:49:57,Naarm,@woopdedoo652 Absolutely! Under 50s should be allowed to work from home if a vaccine is not given to them!!,India
35,1397686468630310914,363303599,2021-05-26 22:49:56,,@jmhorp Taiwan need vaccine!,Italia
36,1397686468374675461,1183340738014334976,2021-05-26 22:49:56,she/her 16,@SOOYASlDE alright.... maybe the vaccine did have some effect on you,United States
38,1397686466063519746,154223624,2021-05-26 22:49:55,172.16.254.1,"@nicd_sa 26 May 2021 #Covid19InSA  
Cases;1645555
Deaths;56077(3.4%)
Recoveries;1546583(94.1%)
T-tested;11452185
Phase 1 Vaccinated;479 768
ActiveCases;42895
Daily Positivity; 10.1%
New cases;4623
New Deaths;101
New recovery;2632
Pfizer Vaccine;282135
Phase 2 daily vaccinated;60999 https://t.co/vVNo1LNPvV",United States
40,1397686455808368643,855635623201210368,2021-05-26 22:49:53,"Salem, OR",@hypochondria48 @baseballnut626 @miphire @redbaybound @GatorMama44 @MollyJongFast @mtgreenee Pfizer took 1.9 billion dollars in a advanced purchase agreement to push the vaccine to the market place from operation warp speed...thats a pretty good incentive to try and get the vaccine out asap..,United States
41,1397686454109671425,895593120724770816,2021-05-26 22:49:53,,Let's go &amp; get this vaccine,Italia
42,1397686453950316549,1299969024294490112,2021-05-26 22:49:53,,@she12 @dogmomma30 @CTVNews A vaccine isn't contagious.,Italia
43,1397686452725551107,1171187227855974400,2021-05-26 22:49:52,,"Havent gotten the vaccine yet, also haven't been infected. Also, there's no shame in that. You be you.",Italia
45,1397686446300053506,171360721,2021-05-26 22:49:51,Houston,"@BLaw @Crowell_Moring CDC Vsafe already has a record of most all who've been vaccinated and could be used to create vaccine passports. Israel is doing well with theirs and they are pretty popular in DC. 

If Biden had balls, TSA would require proof of vaccination before boarding.",United States
47,1397686444655845379,107581536,2021-05-26 22:49:50,West yorkshire,@ianbrown @Nazi_Varia @GTwoey With Vaccines... Like the smallpox vaccine that was devolped in 1796 and has saved approx 150-200million lives.,United Kingdom
48,1397686440205553665,1062716351297376258,2021-05-26 22:49:49,,@barnabychuck How can they achieve that eh even mga binili na vaccine ng private companies for their employees eh ayaw i-release unless you-know-what.,Italia
49,1397686434690220033,1097034614881828864,2021-05-26 22:49:48,,@POTUS Whoever got the vaccine should get a gift!,Italia
53,1397686409721487365,1105487945002373120,2021-05-26 22:49:42,,"@Jasperinboston @kmurph32 @DKThomp A local ""flare-up"" can only happen in pockets of unvaccinated. Those who are not ""antivaxxers"" will be taking precautions (masks, distancing, etc.) and rapid local deployment of vaccines will help those newly convinced of vaccine merit.
I don't see a big problem arising.",Italia
54,1397686407129337862,1247281795722366978,2021-05-26 22:49:41,,Now the #Astrazeneca jab is linked to strokes. When will be public accept the health implications of this so call vax???? Brain clots. Any alarm bells yet? #Astrazeneca #Vaccine #Covidvaccine #Plandemic https://t.co/C18p9z9ALi,Italia
55,1397686406135181312,2908658419,2021-05-26 22:49:41,,"always with this ""Cherie told Kennedy she is not anti-vaccine"" - 

almost lost her husband, her athlete son can barely walk - yet people have to make these statements because of fear of retribution from vile covidian cult - which includes friends and family - maddening smh",Italia
58,1397686394030415875,1254218462500548608,2021-05-26 22:49:38,"Earth, 3rd rock from the sun.","@dumbassgenius My friend scoffed at the vaccine, supported #45...

His parents, who qualified age wise and ""could"" have gotten the vaccine, didn't.

All 3 got covid. His dad died from covid.

He still scoffs at the vaccine.

And yes, same friend if you're keeping track, flat tire brain...",N/A
59,1397686389865582597,782672448323932160,2021-05-26 22:49:37,Nederland,"@willem_engel

Circulating SARS-CoV-2 Vaccine Antigen Detected in the Plasma of mRNA-1273 Vaccine Recipients https://t.co/gdfk6rYcbL",Nederland
60,1397686389383122946,1390069132331077635,2021-05-26 22:49:37,,@abgupta1508 @haryannvi Please dont forget about the wastage In some states wastage is around 35% .  Some states will need to stop politics and concentrate in improving vaccine infra.,Italia
61,1397686388439584770,288973378,2021-05-26 22:49:37,,got my first dose of the covid vaccine :),Italia
62,1397686387323793408,1129505595269058560,2021-05-26 22:49:37,"Alberta, Canada",@CBCFletch Do you know if Alberta has received more Astrazeneca vaccine from the federal government? There were news articles in mid May that another COVAX shipment was soon arriving in Canada. What has happened to that?,Canada
63,1397686382135582721,260334086,2021-05-26 22:49:35,,@brad_melanson I yelped loudly like a wounded animal when Paisley stepped on my arm the day after the vaccine.,Italia
65,1397686374132748288,1213875912,2021-05-26 22:49:34,England,@NOTATORYEVIE I will. Feel like it's doing my bit for hard immunity and at the end of the day as wrong as they are vaccine passports will be a thing for a period of time,United Kingdom
66,1397686370806599680,1102097890904698881,2021-05-26 22:49:33,Straya,As much as the Federal Government has fkd up the vaccine rollout surely some blame has to pass to individual citizens for electing to delay getting the jab for a variety of reasons and to the media for fuelling this hesitancy. https://t.co/Z2W4UCFXGs,N/A
68,1397686361252151296,2606813690,2021-05-26 22:49:30,"Sheffield, England",@NHSDigital @NHSuk @NHSSheffieldCCG I have been trying to book a vaccine slot online for several days but only got error code 9907! Tried 119 too. Is there a solution to this? Thank you!,United Kingdom
69,1397686350397116417,838266595700977664,2021-05-26 22:49:28,"Wurundjeri Land, Kulin Nation",Ugh 12 hours after the vaccine my muscle started to ache. It's painful but not bad but its the constant ache that is getting to me. Still I'll take this over not being vaccinated any day!,N/A
70,1397686345573797890,1366443615707357185,2021-05-26 22:49:27,,Tennessee anti-vaxxer arrested after deliberately plowing car through vaccination site https://t.co/NY7df4XGcD,Italia
71,1397686329564147721,154223624,2021-05-26 22:49:23,172.16.254.1,"@DrZweliMkhize 26 May 2021 #Covid19InSA  
Cases;1645555
Deaths;56077(3.4%)
Recoveries;1546583(94.1%)
T-tested;11452185
Phase 1 Vaccinated;479 768
ActiveCases;42895
Daily Positivity; 10.1%
New cases;4623
New Deaths;101
New recovery;2632
Pfizer Vaccine;282135
Phase 2 daily vaccinated;60999 https://t.co/VdwImOwIQY",United States
73,1397686324115689474,1364920154497277956,2021-05-26 22:49:22,"Los Angeles County, CA","NEW: CVS #17648 on 05-28
Age Group: Unknown

Address: 30740 Russell Ranch Rd, Westlake Village, CA 91362
Posted @ 1622069362
https://t.co/0mws9GGZhU",United States
77,1397686310580723718,1364920154497277956,2021-05-26 22:49:18,"Los Angeles County, CA","NEW: CVS #17593 on 05-29
Age Group: Unknown

Address: 809 N Azusa Ave, Azusa, CA 91702
Posted @ 1622069359
https://t.co/0mws9GGZhU",United States
80,1397686301940277248,721648991767662593,2021-05-26 22:49:16,"Sydney, New South Wales",horny for the vaccine !!,Australia
81,1397686300308742144,2967546956,2021-05-26 22:49:16,Australia,#AstraZeneca uptake will increase with return of covid. As the only choice for over 50 some will die some will be harmed all because @ScottMorrisonMP @GregHuntMP . Failed to provide safe quarantine failed on #COVIDisAirborne failed to procure appropriate vaccine. YOU HAVE TO GO,Australia
